Server, Tagname, Value, Timestamp, Questionable, Annotated, Substituted
D8CF2232, ERROR_P1_Ls, 941.2365, 25/1/2016 12:25:00 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 941.2365, 25/1/2016 12:25:01 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 941.2365, 25/1/2016 12:25:02 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 941.2365, 25/1/2016 12:25:03 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 950.9883, 25/1/2016 12:25:04 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 950.9883, 25/1/2016 12:25:05 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 950.9883, 25/1/2016 12:25:06 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 950.9883, 25/1/2016 12:25:07 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 950.9883, 25/1/2016 12:25:08 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 958.7791, 25/1/2016 12:25:09 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 958.7791, 25/1/2016 12:25:10 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 958.7791, 25/1/2016 12:25:11 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 958.7791, 25/1/2016 12:25:12 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 958.7791, 25/1/2016 12:25:13 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 964.871, 25/1/2016 12:25:14 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 964.871, 25/1/2016 12:25:15 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 964.871, 25/1/2016 12:25:16 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 964.871, 25/1/2016 12:25:17 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 964.871, 25/1/2016 12:25:18 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 967.3267, 25/1/2016 12:25:19 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 967.3267, 25/1/2016 12:25:20 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 967.3267, 25/1/2016 12:25:21 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 967.3267, 25/1/2016 12:25:22 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 967.3267, 25/1/2016 12:25:23 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 969.5864, 25/1/2016 12:25:24 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 969.5864, 25/1/2016 12:25:25 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 969.5864, 25/1/2016 12:25:26 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 969.5864, 25/1/2016 12:25:27 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 969.5864, 25/1/2016 12:25:28 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 971.6303, 25/1/2016 12:25:29 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 971.6303, 25/1/2016 12:25:30 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 971.6303, 25/1/2016 12:25:31 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 971.6303, 25/1/2016 12:25:32 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 973.4076, 25/1/2016 12:25:33 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 973.4076, 25/1/2016 12:25:34 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 973.4076, 25/1/2016 12:25:35 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 973.4076, 25/1/2016 12:25:36 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 973.4076, 25/1/2016 12:25:37 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 973.4076, 25/1/2016 12:25:38 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 974.9927, 25/1/2016 12:25:39 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 974.9927, 25/1/2016 12:25:40 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 974.9927, 25/1/2016 12:25:41 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 974.9927, 25/1/2016 12:25:42 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 974.9927, 25/1/2016 12:25:43 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.201, 25/1/2016 12:25:44 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.201, 25/1/2016 12:25:45 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.201, 25/1/2016 12:25:46 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.201, 25/1/2016 12:25:47 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.201, 25/1/2016 12:25:48 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.206, 25/1/2016 12:25:49 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.206, 25/1/2016 12:25:50 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.206, 25/1/2016 12:25:51 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.206, 25/1/2016 12:25:52 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.206, 25/1/2016 12:25:53 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.3702, 25/1/2016 12:25:54 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.3702, 25/1/2016 12:25:55 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.3702, 25/1/2016 12:25:56 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.3702, 25/1/2016 12:25:57 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.6498, 25/1/2016 12:25:58 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.6498, 25/1/2016 12:25:59 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.6498, 25/1/2016 12:26:00 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.6498, 25/1/2016 12:26:01 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.6498, 25/1/2016 12:26:02 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.6498, 25/1/2016 12:26:03 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.8536, 25/1/2016 12:26:04 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.8536, 25/1/2016 12:26:05 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.8536, 25/1/2016 12:26:06 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.8536, 25/1/2016 12:26:07 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.8536, 25/1/2016 12:26:08 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 990.9695, 25/1/2016 12:26:09 AM, False, Not Annotated, False
