Server, Tagname, X_BAR, Timestamp, Questionable, Annotated, Substituted,,,,LIT301,Z,,,z(k),Threshold,LIT-301,Estimation,,g(k),Threshold,,,,,
D8CF2232, ERROR_P1_Ls,941.2365, 25/1/2016 12:25:00 AM, False, Not Annotated, False,,,,1002.267,61.0305,,,2.4724,3.48,900,897.5276,,7796.246913,3.84,,,,,
D8CF2232, ERROR_P1_Ls,941.2365, 25/1/2016 12:25:01 AM, False, Not Annotated, False,,,,1001.746,60.5095,,,2.4724,3.48,900,897.5276,,7796.246913,3.84,,,,var(z),1275.405198
D8CF2232, ERROR_P1_Ls,941.2365, 25/1/2016 12:25:02 AM, False, Not Annotated, False,,,,1001.626,60.3895,,,2.4724,3.48,900,897.5276,,7796.246913,3.84,,,,,
D8CF2232, ERROR_P1_Ls,941.2365, 25/1/2016 12:25:03 AM, False, Not Annotated, False,,,,1001.626,60.3895,,,2.4724,3.48,900,897.5276,,7796.246913,3.84,,,,max(z),273.2243
D8CF2232, ERROR_P1_Ls,950.9883, 25/1/2016 12:25:04 AM, False, Not Annotated, False,,,,1001.065,50.0767,,,2.4724,3.48,900,897.5276,,7796.246913,3.84,,,,,
D8CF2232, ERROR_P1_Ls,950.9883, 25/1/2016 12:25:05 AM, False, Not Annotated, False,,,,1000.745,49.7567,,,2.7281,3.48,900,897.2719,,9492.239477,3.84,,,,,
D8CF2232, ERROR_P1_Ls,950.9883, 25/1/2016 12:25:06 AM, False, Not Annotated, False,,,,1000.505,49.5167,,,2.7281,3.48,900,897.2719,,9492.239477,3.84,,,,,
D8CF2232, ERROR_P1_Ls,950.9883, 25/1/2016 12:25:07 AM, False, Not Annotated, False,,,,999.6636,48.6753,,,2.7281,3.48,900,897.2719,,9492.239477,3.84,,,,,
D8CF2232, ERROR_P1_Ls,950.9883, 25/1/2016 12:25:08 AM, False, Not Annotated, False,,,,999.2631,48.2748,,,2.7281,3.48,900,897.2719,,9492.239477,3.84,,,,,
D8CF2232, ERROR_P1_Ls,958.7791, 25/1/2016 12:25:09 AM, False, Not Annotated, False,,,,999.0227,40.2436,,,2.7281,3.48,900,897.2719,,9492.239477,3.84,,,,,
