Server, Tagname,Estimation, Timestamp, Questionable, Annotated, Substituted,,,LIT-301,z(k),g(k),Threshold,Threshold,,,,,,
D8CF2232, ERROR_P1_Ls,925.7654, 27/1/2016 2:30:00 AM, False, Not Annotated, False,,,925.2035,0.5619,0.019672289,3.84,3.48,,var(z),0.062307496,,,
D8CF2232, ERROR_P1_Ls,925.6907, 27/1/2016 2:30:01 AM, False, Not Annotated, False,,,925.2836,0.4071,0.010326165,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.7333, 27/1/2016 2:30:02 AM, False, Not Annotated, False,,,925.5239,0.2094,0.00273206,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.9067, 27/1/2016 2:30:03 AM, False, Not Annotated, False,,,925.8444,0.0623,0.000241832,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.004, 27/1/2016 2:30:04 AM, False, Not Annotated, False,,,925.9244,0.0796,0.000394787,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.12, 27/1/2016 2:30:05 AM, False, Not Annotated, False,,,926.0446,0.0754,0.000354225,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.215, 27/1/2016 2:30:06 AM, False, Not Annotated, False,,,926.0446,0.1704,0.001809156,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.3657, 27/1/2016 2:30:07 AM, False, Not Annotated, False,,,926.2048,0.1609,0.001613054,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.4253, 27/1/2016 2:30:08 AM, False, Not Annotated, False,,,925.6841,0.7412,0.03423006,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.3727, 27/1/2016 2:30:09 AM, False, Not Annotated, False,,,925.6441,0.7286,0.033076167,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.3124, 27/1/2016 2:30:10 AM, False, Not Annotated, False,,,925.604,0.7084,0.031267557,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.1398, 27/1/2016 2:30:11 AM, False, Not Annotated, False,,,925.4438,0.696,0.030182508,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.0771, 27/1/2016 2:30:12 AM, False, Not Annotated, False,,,925.604,0.4731,0.013945778,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.1048, 27/1/2016 2:30:13 AM, False, Not Annotated, False,,,925.6441,0.4607,0.013224317,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.0649, 27/1/2016 2:30:14 AM, False, Not Annotated, False,,,925.2035,0.8614,0.046232415,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.9894, 27/1/2016 2:30:15 AM, False, Not Annotated, False,,,925.0833,0.9061,0.051155119,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.9243, 27/1/2016 2:30:16 AM, False, Not Annotated, False,,,925.2435,0.6808,0.028878587,3.84,3.48,,,,,,Z
D8CF2232, ERROR_P1_Ls,925.7241, 27/1/2016 2:30:17 AM, False, Not Annotated, False,,,924.4424,1.2817,0.102355129,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.582, 27/1/2016 2:30:18 AM, False, Not Annotated, False,,,924.4825,1.0995,0.075322948,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.4219, 27/1/2016 2:30:19 AM, False, Not Annotated, False,,,924.3223,1.0996,0.07533665,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.273, 27/1/2016 2:30:20 AM, False, Not Annotated, False,,,924.4424,0.8306,0.042985373,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.2013, 27/1/2016 2:30:21 AM, False, Not Annotated, False,,,924.082,1.1193,0.078060234,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.0316, 27/1/2016 2:30:22 AM, False, Not Annotated, False,,,924.2822,0.7494,0.034991634,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,924.9482, 27/1/2016 2:30:23 AM, False, Not Annotated, False,,,924.1221,0.8261,0.042520864,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,924.9008, 27/1/2016 2:30:24 AM, False, Not Annotated, False,,,924.4424,0.4584,0.013092605,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,924.9625, 27/1/2016 2:30:25 AM, False, Not Annotated, False,,,924.7228,0.2397,0.003579917,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.1247, 27/1/2016 2:30:26 AM, False, Not Annotated, False,,,925.4037,0.279,0.004850039,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.3814, 27/1/2016 2:30:27 AM, False, Not Annotated, False,,,925.604,0.2226,0.003087359,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.5025, 27/1/2016 2:30:28 AM, False, Not Annotated, False,,,925.5239,0.0214,2.85341E-05,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.7189, 27/1/2016 2:30:29 AM, False, Not Annotated, False,,,925.6841,0.0348,7.54563E-05,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.8974, 27/1/2016 2:30:30 AM, False, Not Annotated, False,,,925.7242,0.1732,0.0018691,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.8974, 27/1/2016 2:30:31 AM, False, Not Annotated, False,,,925.7242,0.1732,0.0018691,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.9269, 27/1/2016 2:30:32 AM, False, Not Annotated, False,,,925.4037,0.5232,0.017055809,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.9961, 27/1/2016 2:30:33 AM, False, Not Annotated, False,,,925.604,0.3921,0.009579228,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,925.9961, 27/1/2016 2:30:34 AM, False, Not Annotated, False,,,925.8444,0.1517,0.001433864,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.2894, 27/1/2016 2:30:35 AM, False, Not Annotated, False,,,926.4852,0.1958,0.002388703,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.2894, 27/1/2016 2:30:36 AM, False, Not Annotated, False,,,926.0847,0.2047,0.002610794,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.5743, 27/1/2016 2:30:37 AM, False, Not Annotated, False,,,926.325,0.2493,0.003872411,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.735, 27/1/2016 2:30:38 AM, False, Not Annotated, False,,,926.6855,0.0495,0.000152668,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.8712, 27/1/2016 2:30:39 AM, False, Not Annotated, False,,,927.1261,0.2549,0.004048336,3.84,3.48,,,,,,
D8CF2232, ERROR_P1_Ls,926.8712, 27/1/2016 2:30:40 AM, False, Not Annotated, False,,,926.8457,0.0255,4.05151E-05,3.84,3.48,,,,,,
