Server, Tagname,x_bar, Timestamp, Questionable, Annotated, Substituted,,,LIT 301,Z,ABS(Z),,,,,,,,,
D8CF2232, ERROR_P1_Ls,994.0552, 21/1/2016 8:03:00 PM, False, Not Annotated, False,,,993.5353,-0.5199,0.5199,0.173728165,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.6932, 21/1/2016 8:03:01 PM, False, Not Annotated, False,,,993.4152,-0.278,0.278,0.049672977,,4.4766,,,,,,
D8CF2232, ERROR_P1_Ls,993.4152, 21/1/2016 8:03:02 PM, False, Not Annotated, False,,,993.5353,0.1201,0.1201,0.009270787,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.6154, 21/1/2016 8:03:03 PM, False, Not Annotated, False,,,993.3351,-0.2803,0.2803,0.050498304,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.7355, 21/1/2016 8:03:04 PM, False, Not Annotated, False,,,993.6555,-0.08,0.08,0.004113491,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.5353, 21/1/2016 8:03:05 PM, False, Not Annotated, False,,,994.016,0.4807,0.4807,0.148517915,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.5354, 21/1/2016 8:03:06 PM, False, Not Annotated, False,,,993.6154,0.08,0.08,0.004113491,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.4152, 21/1/2016 8:03:07 PM, False, Not Annotated, False,,,993.3351,-0.0801,0.0801,0.004123781,,,,max(z),4.4766,,,
D8CF2232, ERROR_P1_Ls,993.5348, 21/1/2016 8:03:08 PM, False, Not Annotated, False,,,993.2549,-0.2799,0.2799,0.050354281,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.3351, 21/1/2016 8:03:09 PM, False, Not Annotated, False,,,993.1348,-0.2003,0.2003,0.025786506,,,,mean,1.022520098,,,
D8CF2232, ERROR_P1_Ls,993.6558, 21/1/2016 8:03:10 PM, False, Not Annotated, False,,,993.4152,-0.2406,0.2406,0.037206759,,,,,,,,
D8CF2232, ERROR_P1_Ls,994.0173, 21/1/2016 8:03:11 PM, False, Not Annotated, False,,,993.4552,-0.5621,0.5621,0.203075611,,,,SD,0.801706198,,,
D8CF2232, ERROR_P1_Ls,993.6154, 21/1/2016 8:03:12 PM, False, Not Annotated, False,,,993.3351,-0.2803,0.2803,0.050498304,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.215, 21/1/2016 8:03:13 PM, False, Not Annotated, False,,,993.4552,0.2402,0.2402,0.037083149,,,,Var,0.642732828,,,3.206824
D8CF2232, ERROR_P1_Ls,993.313, 21/1/2016 8:03:14 PM, False, Not Annotated, False,,,993.5353,0.2223,0.2223,0.031762123,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.255, 21/1/2016 8:03:15 PM, False, Not Annotated, False,,,993.5353,0.2803,0.2803,0.050498304,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.335, 21/1/2016 8:03:16 PM, False, Not Annotated, False,,,992.9345,-0.4005,0.4005,0.103094534,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.295, 21/1/2016 8:03:17 PM, False, Not Annotated, False,,,993.295,0,0,0,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.3351, 21/1/2016 8:03:18 PM, False, Not Annotated, False,,,993.3351,0,0,0,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.5353, 21/1/2016 8:03:19 PM, False, Not Annotated, False,,,993.2149,-0.3204,0.3204,0.065980502,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.5353, 21/1/2016 8:03:20 PM, False, Not Annotated, False,,,993.2149,-0.3204,0.3204,0.065980502,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.5353, 21/1/2016 8:03:21 PM, False, Not Annotated, False,,,992.8544,-0.6809,0.6809,0.297986965,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.9348, 21/1/2016 8:03:22 PM, False, Not Annotated, False,,,992.6542,-0.2806,0.2806,0.050606457,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.2952, 21/1/2016 8:03:23 PM, False, Not Annotated, False,,,993.1348,-0.1604,0.1604,0.016536337,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.3353, 21/1/2016 8:03:24 PM, False, Not Annotated, False,,,993.295,-0.0403,0.0403,0.001043856,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.2141, 21/1/2016 8:03:25 PM, False, Not Annotated, False,,,993.3351,0.121,0.121,0.009410254,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.2141, 21/1/2016 8:03:26 PM, False, Not Annotated, False,,,993.2149,0.0008,0.0008,4.11E-07,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.8533, 21/1/2016 8:03:27 PM, False, Not Annotated, False,,,992.8544,0.0011,0.0011,7.78E-07,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.6566, 21/1/2016 8:03:28 PM, False, Not Annotated, False,,,993.0146,0.358,0.358,0.082375232,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.1347, 21/1/2016 8:03:29 PM, False, Not Annotated, False,,,992.8945,-0.2402,0.2402,0.037083149,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.335, 21/1/2016 8:03:30 PM, False, Not Annotated, False,,,993.0547,-0.2803,0.2803,0.050498304,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.3351, 21/1/2016 8:03:31 PM, False, Not Annotated, False,,,993.2149,-0.1202,0.1202,0.009286232,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.279, 21/1/2016 8:03:32 PM, False, Not Annotated, False,,,993.0547,-0.2243,0.2243,0.032336212,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.0544, 21/1/2016 8:03:33 PM, False, Not Annotated, False,,,993.0547,0.0003,0.0003,5.78E-08,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.814, 21/1/2016 8:03:34 PM, False, Not Annotated, False,,,993.0146,0.2006,0.2006,0.025863807,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.8542, 21/1/2016 8:03:35 PM, False, Not Annotated, False,,,993.0947,0.2405,0.2405,0.037175837,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.0544, 21/1/2016 8:03:36 PM, False, Not Annotated, False,,,993.0947,0.0403,0.0403,0.001043856,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.2086, 21/1/2016 8:03:37 PM, False, Not Annotated, False,,,993.2549,0.0463,0.0463,0.00137782,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.0457, 21/1/2016 8:03:38 PM, False, Not Annotated, False,,,993.0947,0.049,0.049,0.001543202,,,,,,,,
D8CF2232, ERROR_P1_Ls,993.0363, 21/1/2016 8:03:39 PM, False, Not Annotated, False,,,993.295,0.2587,0.2587,0.04301535,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.9224, 21/1/2016 8:03:40 PM, False, Not Annotated, False,,,992.6141,-0.3083,0.3083,0.061091058,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.8884, 21/1/2016 8:03:41 PM, False, Not Annotated, False,,,992.9345,0.0461,0.0461,0.001365943,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.738, 21/1/2016 8:03:42 PM, False, Not Annotated, False,,,992.9345,0.1965,0.1965,0.024817367,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.7115, 21/1/2016 8:03:43 PM, False, Not Annotated, False,,,992.2936,-0.4179,0.4179,0.112247155,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.3555, 21/1/2016 8:03:44 PM, False, Not Annotated, False,,,992.0533,-0.3022,0.3022,0.058697488,,,,,,,,
D8CF2232, ERROR_P1_Ls,992.403, 21/1/2016 8:03:45 PM, False, Not Annotated, False,,,991.8931,-0.5099,0.5099,0.167109301,,,,,,,,
D8CF2232, ERROR_P1_Ls,991.6253, 21/1/2016 8:03:46 PM, False, Not Annotated, False,,,991.4926,-0.1327,0.1327,0.011318072,,,,,,,,
D8CF2232, ERROR_P1_Ls,991.8882, 21/1/2016 8:03:47 PM, False, Not Annotated, False,,,991.2923,-0.5959,0.5959,0.228232438,,,,,,,,
D8CF2232, ERROR_P1_Ls,991.8539, 21/1/2016 8:03:48 PM, False, Not Annotated, False,,,991.052,-0.8019,0.8019,0.413305349,,,,,,,,
D8CF2232, ERROR_P1_Ls,991.1936, 21/1/2016 8:03:49 PM, False, Not Annotated, False,,,990.6915,-0.5021,0.5021,0.162035824,,,,,,,,
D8CF2232, ERROR_P1_Ls,990.9462, 21/1/2016 8:03:50 PM, False, Not Annotated, False,,,990.4512,-0.495,0.495,0.157485653,,,,,,,,
D8CF2232, ERROR_P1_Ls,990.6163, 21/1/2016 8:03:51 PM, False, Not Annotated, False,,,989.6501,-0.9662,0.9662,0.600018533,,,,,,,,
D8CF2232, ERROR_P1_Ls,990.461, 21/1/2016 8:03:52 PM, False, Not Annotated, False,,,989.57,-0.891,0.891,0.510253517,,,,,,,,
D8CF2232, ERROR_P1_Ls,990.1822, 21/1/2016 8:03:53 PM, False, Not Annotated, False,,,989.1695,-1.0127,1.0127,0.659162085,,,,,,,,
