Server, Tagname,X_BAR, Timestamp, Questionable, Annotated, Substituted,,, LIT301,z
D8CF2232, ERROR_P1_Ls,799.0685, 26/1/2016 1:43:00 AM, False, Not Annotated, False,,,799.3544,0.2859
D8CF2232, ERROR_P1_Ls,799.0825, 26/1/2016 1:43:01 AM, False, Not Annotated, False,,,799.2742,0.1917
D8CF2232, ERROR_P1_Ls,799.1236, 26/1/2016 1:43:02 AM, False, Not Annotated, False,,,799.5947,0.4711
D8CF2232, ERROR_P1_Ls,799.1236, 26/1/2016 1:43:03 AM, False, Not Annotated, False,,,799.5546,0.431
D8CF2232, ERROR_P1_Ls,799.1646, 26/1/2016 1:43:04 AM, False, Not Annotated, False,,,799.9952,0.8306
D8CF2232, ERROR_P1_Ls,799.217, 26/1/2016 1:43:05 AM, False, Not Annotated, False,,,800.0753,0.8583
D8CF2232, ERROR_P1_Ls,799.342, 26/1/2016 1:43:06 AM, False, Not Annotated, False,,,799.6748,0.3328
D8CF2232, ERROR_P1_Ls,799.3928, 26/1/2016 1:43:07 AM, False, Not Annotated, False,,,799.9551,0.5623
D8CF2232, ERROR_P1_Ls,799.4462, 26/1/2016 1:43:08 AM, False, Not Annotated, False,,,799.9151,0.4689
D8CF2232, ERROR_P1_Ls,799.4794, 26/1/2016 1:43:09 AM, False, Not Annotated, False,,,799.7549,0.2755
D8CF2232, ERROR_P1_Ls,799.5246, 26/1/2016 1:43:10 AM, False, Not Annotated, False,,,800.2756,0.751
D8CF2232, ERROR_P1_Ls,799.6036, 26/1/2016 1:43:11 AM, False, Not Annotated, False,,,800.2756,0.672
D8CF2232, ERROR_P1_Ls,799.6675, 26/1/2016 1:43:12 AM, False, Not Annotated, False,,,799.9151,0.2476
D8CF2232, ERROR_P1_Ls,799.653, 26/1/2016 1:43:13 AM, False, Not Annotated, False,,,799.5546,0.0984
D8CF2232, ERROR_P1_Ls,799.653, 26/1/2016 1:43:14 AM, False, Not Annotated, False,,,799.6748,0.0218
D8CF2232, ERROR_P1_Ls,799.653, 26/1/2016 1:43:15 AM, False, Not Annotated, False,,,799.6748,0.0218
D8CF2232, ERROR_P1_Ls,799.6551, 26/1/2016 1:43:16 AM, False, Not Annotated, False,,,799.6748,0.0197
D8CF2232, ERROR_P1_Ls,799.6494, 26/1/2016 1:43:17 AM, False, Not Annotated, False,,,799.3544,0.295
