Server, Tagname,Estimation, Timestamp, Questionable, Annotated, Substituted,,,LIT-301,z(k),,g(k),,
D8CF2232, ERROR_P1_Ls,970.1746, 26/1/2016 2:22:00 AM, False, Not Annotated, False,,,969.9837,0.1909,,0.007827077,,
D8CF2232, ERROR_P1_Ls,970.2913, 26/1/2016 2:22:01 AM, False, Not Annotated, False,,,970.5444,0.2531,,0.013758531,,
D8CF2232, ERROR_P1_Ls,970.4091, 26/1/2016 2:22:02 AM, False, Not Annotated, False,,,970.6245,0.2154,,0.009965043,,
D8CF2232, ERROR_P1_Ls,970.6369, 26/1/2016 2:22:03 AM, False, Not Annotated, False,,,970.5444,0.0925,,0.001837686,,
D8CF2232, ERROR_P1_Ls,970.8569, 26/1/2016 2:22:04 AM, False, Not Annotated, False,,,970.4644,0.3925,,0.033087739,,0.214777017
D8CF2232, ERROR_P1_Ls,970.9292, 26/1/2016 2:22:05 AM, False, Not Annotated, False,,,969.9837,0.9455,,0.192004248,,
D8CF2232, ERROR_P1_Ls,970.9437, 26/1/2016 2:22:06 AM, False, Not Annotated, False,,,970.3442,0.5995,,0.077190907,,
D8CF2232, ERROR_P1_Ls,970.8708, 26/1/2016 2:22:07 AM, False, Not Annotated, False,,,970.1439,0.7269,,0.113484647,,
D8CF2232, ERROR_P1_Ls,970.841, 26/1/2016 2:22:08 AM, False, Not Annotated, False,,,970.1439,0.6971,,0.104370542,,
D8CF2232, ERROR_P1_Ls,970.8195, 26/1/2016 2:22:09 AM, False, Not Annotated, False,,,970.0638,0.7557,,0.122655384,,
D8CF2232, ERROR_P1_Ls,970.8155, 26/1/2016 2:22:10 AM, False, Not Annotated, False,,,970.184,0.6315,,0.085651403,,
D8CF2232, ERROR_P1_Ls,970.8721, 26/1/2016 2:22:11 AM, False, Not Annotated, False,,,970.3842,0.4879,,0.051126894,,
D8CF2232, ERROR_P1_Ls,970.8513, 26/1/2016 2:22:12 AM, False, Not Annotated, False,,,970.6646,0.1867,,0.007486458,,
D8CF2232, ERROR_P1_Ls,970.8961, 26/1/2016 2:22:13 AM, False, Not Annotated, False,,,970.7847,0.1114,,0.002665374,,
D8CF2232, ERROR_P1_Ls,970.9514, 26/1/2016 2:22:14 AM, False, Not Annotated, False,,,970.8649,0.0865,,0.001607015,,
D8CF2232, ERROR_P1_Ls,971.0275, 26/1/2016 2:22:15 AM, False, Not Annotated, False,,,971.1453,0.1178,,0.002980426,,
D8CF2232, ERROR_P1_Ls,971.2001, 26/1/2016 2:22:16 AM, False, Not Annotated, False,,,970.9449,0.2552,,0.01398779,,
D8CF2232, ERROR_P1_Ls,971.3461, 26/1/2016 2:22:17 AM, False, Not Annotated, False,,,970.9449,0.4012,,0.034570815,,
D8CF2232, ERROR_P1_Ls,971.4131, 26/1/2016 2:22:18 AM, False, Not Annotated, False,,,971.3455,0.0676,,0.000981479,,
D8CF2232, ERROR_P1_Ls,971.4484, 26/1/2016 2:22:19 AM, False, Not Annotated, False,,,970.8649,0.5835,,0.073125608,,
D8CF2232, ERROR_P1_Ls,971.4995, 26/1/2016 2:22:20 AM, False, Not Annotated, False,,,970.7847,0.7148,,0.109737954,,
D8CF2232, ERROR_P1_Ls,971.4407, 26/1/2016 2:22:21 AM, False, Not Annotated, False,,,970.6646,0.7761,,0.12936689,,
D8CF2232, ERROR_P1_Ls,971.3637, 26/1/2016 2:22:22 AM, False, Not Annotated, False,,,970.6245,0.7392,,0.117357727,,
D8CF2232, ERROR_P1_Ls,971.3096, 26/1/2016 2:22:23 AM, False, Not Annotated, False,,,970.4644,0.8452,,0.153428751,,
D8CF2232, ERROR_P1_Ls,971.2477, 26/1/2016 2:22:24 AM, False, Not Annotated, False,,,970.1439,1.1038,,0.261678807,,
D8CF2232, ERROR_P1_Ls,971.2477, 26/1/2016 2:22:25 AM, False, Not Annotated, False,,,970.1439,1.1038,,0.261678807,,
D8CF2232, ERROR_P1_Ls,971.1448, 26/1/2016 2:22:26 AM, False, Not Annotated, False,,,969.9436,1.2012,,0.309897747,,
D8CF2232, ERROR_P1_Ls,971.0134, 26/1/2016 2:22:27 AM, False, Not Annotated, False,,,970.0237,0.9897,,0.210375379,,
D8CF2232, ERROR_P1_Ls,970.814, 26/1/2016 2:22:28 AM, False, Not Annotated, False,,,970.3442,0.4698,,0.04740387,,
D8CF2232, ERROR_P1_Ls,970.757, 26/1/2016 2:22:29 AM, False, Not Annotated, False,,,969.9837,0.7733,,0.128435119,,
