Server, Tagname, Value, Timestamp, Questionable, Annotated, Substituted
D8CF2232, ERROR_P1_Ls, 986.8661, 27/1/2016 2:54:00 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 986.9442, 27/1/2016 2:54:01 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.0035, 27/1/2016 2:54:02 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.0876, 27/1/2016 2:54:03 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.1751, 27/1/2016 2:54:04 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.22, 27/1/2016 2:54:05 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.2836, 27/1/2016 2:54:06 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.3715, 27/1/2016 2:54:07 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.493, 27/1/2016 2:54:08 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.603, 27/1/2016 2:54:09 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.7748, 27/1/2016 2:54:10 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.858, 27/1/2016 2:54:11 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.8989, 27/1/2016 2:54:12 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.9626, 27/1/2016 2:54:13 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 987.9626, 27/1/2016 2:54:14 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.0394, 27/1/2016 2:54:15 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.0394, 27/1/2016 2:54:16 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.1238, 27/1/2016 2:54:17 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.17, 27/1/2016 2:54:18 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2155, 27/1/2016 2:54:19 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2415, 27/1/2016 2:54:20 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.223, 27/1/2016 2:54:21 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2483, 27/1/2016 2:54:22 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2521, 27/1/2016 2:54:23 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2898, 27/1/2016 2:54:24 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2782, 27/1/2016 2:54:25 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2868, 27/1/2016 2:54:26 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.3174, 27/1/2016 2:54:27 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.3337, 27/1/2016 2:54:28 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.3447, 27/1/2016 2:54:29 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.3774, 27/1/2016 2:54:30 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.4146, 27/1/2016 2:54:31 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.4407, 27/1/2016 2:54:32 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.4719, 27/1/2016 2:54:33 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.504, 27/1/2016 2:54:34 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.4987, 27/1/2016 2:54:35 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.4711, 27/1/2016 2:54:36 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.427, 27/1/2016 2:54:37 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.3871, 27/1/2016 2:54:38 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.3472, 27/1/2016 2:54:39 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.3071, 27/1/2016 2:54:40 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.267, 27/1/2016 2:54:41 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.2269, 27/1/2016 2:54:42 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.1866, 27/1/2016 2:54:43 AM, False, Not Annotated, False
D8CF2232, ERROR_P1_Ls, 988.1502, 27/1/2016 2:54:44 AM, False, Not Annotated, False
